index,geocode_status,geocode_reason,lat_geocoded,lon_geocoded,geocode_label,geocode_feature_id,geocode_raw,address
10,success,Geocoding successful.,47.506710052490234,8.724995613098145,Kiesstrasse 4 <b>8400 Winterthur</b>,191980305_0,"{'attrs': {'detail': 'kiesstrasse 4 8400 winterthur 230 winterthur ch zh', 'featureId': '191980305_0', 'geom_quadindex': '030010033323213312201', 'geom_st_box2d': 'BOX(8.724983 47.506711,8.724983 47.506711)', 'label': 'Kiesstrasse 4 <b>8400 Winterthur</b>', 'lat': 47.506710052490234, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103274495', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/191980305_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.724995613098145, 'num': 4, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.724995613098145, 'y': 47.506710052490234, 'zoomlevel': 10}, 'id': 2543471, 'weight': 1}","Kiesstrasse 4, 8400 Winterthur"
11,success,Geocoding successful.,47.50077438354492,8.716506958007812,Rennweg 5a <b>8400 Winterthur</b>,192000741_0,"{'attrs': {'detail': 'rennweg 5a 8400 winterthur 230 winterthur ch zh', 'featureId': '192000741_0', 'geom_quadindex': '030010211030310210302', 'geom_st_box2d': 'BOX(8.716494 47.500775,8.716494 47.500775)', 'label': 'Rennweg 5a <b>8400 Winterthur</b>', 'lat': 47.50077438354492, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103377591', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/192000741_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.716506958007812, 'num': 5, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.716506958007812, 'y': 47.50077438354492, 'zoomlevel': 10}, 'id': 2203115, 'weight': 1}","Rennweg 5a, 8400 Winterthur"
12,success,Geocoding successful.,47.50077438354492,8.716506958007812,Rennweg 5a <b>8400 Winterthur</b>,192000741_0,"{'attrs': {'detail': 'rennweg 5a 8400 winterthur 230 winterthur ch zh', 'featureId': '192000741_0', 'geom_quadindex': '030010211030310210302', 'geom_st_box2d': 'BOX(8.716494 47.500775,8.716494 47.500775)', 'label': 'Rennweg 5a <b>8400 Winterthur</b>', 'lat': 47.50077438354492, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103377591', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/192000741_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.716506958007812, 'num': 5, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.716506958007812, 'y': 47.50077438354492, 'zoomlevel': 10}, 'id': 2203115, 'weight': 1}","Rennweg 5a, 8400 Winterthur"
13,success,Geocoding successful.,47.50184631347656,8.71732234954834,Schützenstrasse 15a <b>8400 Winterthur</b>,192015554_0,"{'attrs': {'detail': 'schuetzenstrasse 15a 8400 winterthur 230 winterthur ch zh', 'featureId': '192015554_0', 'geom_quadindex': '030010211031000032312', 'geom_st_box2d': 'BOX(8.717309 47.50185,8.717309 47.50185)', 'label': 'Schützenstrasse 15a <b>8400 Winterthur</b>', 'lat': 47.50184631347656, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103473530', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/192015554_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.71732234954834, 'num': 15, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.71732234954834, 'y': 47.50184631347656, 'zoomlevel': 10}, 'id': 2356627, 'weight': 1}","Schützenstrasse 15a, 8400 Winterthur"
14,success,Geocoding successful.,47.510986328125,8.702859878540039,Talhofweg 24b <b>8408 Winterthur</b>,192004034_0,"{'attrs': {'detail': 'talhofweg 24b 8408 winterthur 230 winterthur ch zh', 'featureId': '192004034_0', 'geom_quadindex': '030010032312230122110', 'geom_st_box2d': 'BOX(8.702847 47.51099,8.702847 47.51099)', 'label': 'Talhofweg 24b <b>8408 Winterthur</b>', 'lat': 47.510986328125, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103426689', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/192004034_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.702859878540039, 'num': 24, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.702859878540039, 'y': 47.510986328125, 'zoomlevel': 10}, 'id': 2117872, 'weight': 1}","Talhofweg 24b, 8408 Winterthur"
15,success,Geocoding successful.,47.489593505859375,8.763786315917969,Wurmbühlstrasse 9d <b>8405 Winterthur</b>,191978341_0,"{'attrs': {'detail': 'wurmbuehlstrasse 9d 8405 winterthur 230 winterthur ch zh', 'featureId': '191978341_0', 'geom_quadindex': '030010301232200322331', 'geom_st_box2d': 'BOX(8.763774 47.489597,8.763774 47.489597)', 'label': 'Wurmbühlstrasse 9d <b>8405 Winterthur</b>', 'lat': 47.489593505859375, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103265509', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/191978341_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.763786315917969, 'num': 9, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.763786315917969, 'y': 47.489593505859375, 'zoomlevel': 10}, 'id': 2676799, 'weight': 1}","Wurmbühlstrasse 9d, 8405 Winterthur"
16,success,Geocoding successful.,47.49587631225586,8.7344970703125,Obermühlestrasse 5 <b>8400 Winterthur</b>,210220460_0,"{'attrs': {'detail': 'obermuehlestrasse 5 8400 winterthur 230 winterthur ch zh', 'featureId': '210220460_0', 'geom_quadindex': '030010300200320133002', 'geom_st_box2d': 'BOX(8.734485 47.49588,8.734485 47.49588)', 'label': 'Obermühlestrasse 5 <b>8400 Winterthur</b>', 'lat': 47.49587631225586, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/102397237', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210220460_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.7344970703125, 'num': 5, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.7344970703125, 'y': 47.49587631225586, 'zoomlevel': 10}, 'id': 2739131, 'weight': 1}","Obermühlestrasse 5, 8400 Winterthur"
17,success,Geocoding successful.,47.50265121459961,8.766768455505371,Sulzerallee 76 <b>8404 Winterthur</b>,210222195_0,"{'attrs': {'detail': 'sulzerallee 76 8404 winterthur 230 winterthur ch zh', 'featureId': '210222195_0', 'geom_quadindex': '030010301012133031122', 'geom_st_box2d': 'BOX(8.766756 47.502652,8.766756 47.502652)', 'label': 'Sulzerallee 76 <b>8404 Winterthur</b>', 'lat': 47.50265121459961, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/102419593', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210222195_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.766768455505371, 'num': 76, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.766768455505371, 'y': 47.50265121459961, 'zoomlevel': 10}, 'id': 2031346, 'weight': 1}","Sulzerallee 76, 8404 Winterthur"
18,success,Geocoding successful.,47.50257110595703,8.76628589630127,Sulzerallee 72 <b>8404 Winterthur</b>,210222195_1,"{'attrs': {'detail': 'sulzerallee 72 8404 winterthur 230 winterthur ch zh', 'featureId': '210222195_1', 'geom_quadindex': '030010301012132203101', 'geom_st_box2d': 'BOX(8.766274 47.502573,8.766274 47.502573)', 'label': 'Sulzerallee 72 <b>8404 Winterthur</b>', 'lat': 47.50257110595703, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/102419595', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210222195_1', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.76628589630127, 'num': 72, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.76628589630127, 'y': 47.50257110595703, 'zoomlevel': 10}, 'id': 2585181, 'weight': 1}","Sulzerallee 72, 8404 Winterthur"
19,success,Geocoding successful.,47.50260925292969,8.766526222229004,Sulzerallee 74 <b>8404 Winterthur</b>,210222195_2,"{'attrs': {'detail': 'sulzerallee 74 8404 winterthur 230 winterthur ch zh', 'featureId': '210222195_2', 'geom_quadindex': '030010301012132132320', 'geom_st_box2d': 'BOX(8.766514 47.502613,8.766514 47.502613)', 'label': 'Sulzerallee 74 <b>8404 Winterthur</b>', 'lat': 47.50260925292969, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/102419598', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210222195_2', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.766526222229004, 'num': 74, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.766526222229004, 'y': 47.50260925292969, 'zoomlevel': 10}, 'id': 2282145, 'weight': 1}","Sulzerallee 74, 8404 Winterthur"
